Year,Wave,Fishing Mode,Fishing Area,Species Group,Sub Group,Observed Harvest (A),PSE,Reported Harvest (B1),PSE,Released Alive (B2),PSE,Total,Angler Trips,AngPSE
2010,MAY/JUNE,CHARTER BOAT,INLAND,SEA BASSES,BLACK SEA BASS,0,.,0,.,162,111.6,162,31593,20.5
2010,MAY/JUNE,CHARTER BOAT,INLAND,TEMPERATE BASSES,STRIPED BASS,18477,44.4,0,.,1921,61.3,20398,31593,20.5
2010,MAY/JUNE,CHARTER BOAT,INLAND,TEMPERATE BASSES,WHITE PERCH,0,.,1010,110.3,268,110.3,1278,31593,20.5
2010,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),DOLPHINS,DOLPHINS,2182,101.9,0,.,0,.,2182,37713,68.8
2010,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,1091,101.9,0,.,0,.,1091,37713,68.8
2010,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),WRASSES,TAUTOG,31079,75.5,0,.,15522,75.5,46601,37713,68.8
2010,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,BLUEFISH,BLUEFISH,12324,56.8,0,.,20474,51.3,32798,1015608,12.9
2010,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,CARTILAGINOUS FISHES,OTHER SHARKS,0,.,0,.,1420,100.3,1420,1015608,12.9
2010,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,CARTILAGINOUS FISHES,SKATES/RAYS,0,.,822,101.2,17946,65.9,18768,1015608,12.9
2010,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,CATFISHES,FRESHWATER CATFISHES,35504,92.4,135301,93.9,682818,36.8,853623,1015608,12.9
2010,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,DRUMS,ATLANTIC CROAKER,782098,58.4,278469,85.6,1336622,43,2397189,1015608,12.9
2010,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,DRUMS,SPOT,89544,98.8,137570,83.6,24164,87.9,251278,1015608,12.9
2010,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,EELS,EELS,0,.,0,.,7158,82.6,7158,1015608,12.9
2010,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,FLOUNDERS,SUMMER FLOUNDER,7764,66.6,0,.,334426,63,342190,1015608,12.9
2010,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,OTHER FISHES,OTHER FISHES,42673,95.9,0,.,490045,46.4,532718,1015608,12.9
2010,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,SEAROBINS,SEAROBINS,0,.,0,.,5464,100.9,5464,1015608,12.9
2010,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,TEMPERATE BASSES,STRIPED BASS,58926,50.7,2292,97.1,445843,51.7,507061,1015608,12.9
2010,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,TEMPERATE BASSES,WHITE PERCH,189882,74.7,199243,86.5,508477,58.9,897602,1015608,12.9
2010,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,TOADFISHES,TOADFISHES,0,.,4400,98.8,43260,69.9,47660,1015608,12.9
